abandon|əˈbændən|v.放弃;抛弃
amount|əˈmaʊnt|n.数量;总额;v.合计
analyze|ˈænəlaɪz|v.分析;解析
ancestor|ˈænsestər|n.祖先;祖宗
angle|ˈæŋɡl|n.角;角度;观点
anniversary|ˌænɪˈvɜːrsəri|n.周年纪念日
announce|əˈnaʊns|v.宣布;通告
annual|ˈænjuəl|adj.年度的;每年的
anxiety|æŋˈzaɪəti|n.焦虑;忧虑
apart|əˈpɑːrt|adv.分开地;相隔
apparent|əˈpærənt|adj.明显的;表面的
appeal|əˈpiːl|v.呼吁;吸引;n.上诉
appetite|ˈæpɪtaɪt|n.食欲;胃口
appliance|əˈplaɪəns|n.器具;家电
application|ˌæplɪˈkeɪʃn|n.申请;应用
appreciate|əˈpriːʃieɪt|v.欣赏;感激;升值
approach|əˈproʊtʃ|v.接近;n.方法
appropriate|əˈproʊpriət|adj.适当的;合适的
approve|əˈpruːv|v.批准;认可
architecture|ˈɑːrkɪtektʃər|n.建筑;建筑学
argue|ˈɑːrɡjuː|v.争论;争辩
arise|əˈraɪz|v.出现;产生;起身
arrange|əˈreɪndʒ|v.安排;整理
arrest|əˈrest|v.逮捕;阻止
article|ˈɑːrtɪkl|n.文章;物品;冠词
artificial|ˌɑːrtɪˈfɪʃl|adj.人工的;人造的
aspect|ˈæspekt|n.方面;层面
assemble|əˈsembl|v.集合;组装
assess|əˈses|v.评估;评定
assign|əˈsaɪn|v.分配;指派
assist|əˈsɪst|v.帮助;协助
associate|əˈsoʊʃieɪt|v.联系;关联;n.伙伴
assume|əˈsuːm|v.假设;承担
atmosphere|ˈætməsfɪr|n.大气;氛围
attach|əˈtætʃ|v.附上;连接;依恋
attempt|əˈtempt|v.尝试;试图;n.企图
attend|əˈtend|v.参加;出席;注意
attitude|ˈætɪtuːd|n.态度;看法
attract|əˈtrækt|v.吸引;引起
authority|əˈθɔːrəti|n.权威;权力;当局
available|əˈveɪləbl|adj.可用的;有效的
avenue|ˈævənuː|n.大街;林荫道
average|ˈævərɪdʒ|n.平均;adj.普通的
avoid|əˈvɔɪd|v.避免;回避
award|əˈwɔːrd|n.奖;v.授予
aware|əˈwer|adj.意识到的;知道的
backward|ˈbækwərd|adv.向后地;adj.落后的
bacteria|bækˈtɪriə|n.细菌
balance|ˈbæləns|n.平衡;v.使平衡
banquet|ˈbæŋkwɪt|n.宴会;盛宴
bargain|ˈbɑːrɡən|n.便宜货;v.讨价还价
barrier|ˈbæriər|n.障碍;屏障
battle|ˈbætl|n.战斗;v.斗争
behalf|bɪˈhæf|n.代表;利益
behavior|bɪˈheɪvjər|n.行为;举止
beneath|bɪˈniːθ|prep.在...下方
benefit|ˈbenɪfɪt|n.利益;好处;v.有益于
bitter|ˈbɪtər|adj.苦的;痛苦的
blame|bleɪm|v.责备;归咎于
blanket|ˈblæŋkɪt|n.毯子;覆盖层
bold|boʊld|adj.大胆的;粗体的
border|ˈbɔːrdər|n.边界;边境
bore|bɔːr|v.使厌烦;钻孔
bother|ˈbɑːðər|v.打扰;烦恼
boundary|ˈbaʊndri|n.边界;界限
brain|breɪn|n.大脑;智力
brand|brænd|n.品牌;商标
breath|breθ|n.呼吸;气息
breathe|briːð|v.呼吸
brief|briːf|adj.简短的;短暂的
brilliant|ˈbrɪliənt|adj.杰出的;明亮的
broadcast|ˈbrɔːdkæst|v.广播;播送
budget|ˈbʌdʒɪt|n.预算;经费
burden|ˈbɜːrdn|n.负担;v.使负重
calculate|ˈkælkjuleɪt|v.计算;估计
campaign|kæmˈpeɪn|n.运动;战役;活动
capable|ˈkeɪpəbl|adj.有能力的
capacity|kəˈpæsəti|n.容量;能力;身份
capture|ˈkæptʃər|v.捕获;俘获;n.俘虏
career|kəˈrɪr|n.职业;生涯
catalog|ˈkætəlɔːɡ|n.目录;v.编目
category|ˈkætəɡɔːri|n.种类;类别
caution|ˈkɔːʃn|n.谨慎;警告
cease|siːs|v.停止;终止
celebrate|ˈselɪbreɪt|v.庆祝;赞美
challenge|ˈtʃælɪndʒ|n.挑战;v.质疑
champion|ˈtʃæmpiən|n.冠军;拥护者
channel|ˈtʃænl|n.频道;渠道;海峡
chapter|ˈtʃæptər|n.章节;分会
character|ˈkærəktər|n.性格;角色;字符
characteristic|ˌkærəktəˈrɪstɪk|n.特征;adj.特有的
charity|ˈtʃærəti|n.慈善;施舍
chemical|ˈkemɪkl|adj.化学的;n.化学品
cherish|ˈtʃerɪʃ|v.珍惜;珍爱
circumstance|ˈsɜːrkəmstæns|n.环境;情况
citizen|ˈsɪtɪzn|n.公民;市民
civil|ˈsɪvl|adj.公民的;民用的;文明的
civilization|ˌsɪvələˈzeɪʃn|n.文明;文化
claim|kleɪm|v.声称;要求;n.索赔
classic|ˈklæsɪk|adj.经典的;n.名著
climate|ˈklaɪmət|n.气候;风气
collapse|kəˈlæps|v.倒塌;崩溃
colleague|ˈkɑːliːɡ|n.同事;同僚
collection|kəˈlekʃn|n.收集;收藏品
combine|kəmˈbaɪn|v.结合;联合
comfort|ˈkʌmfərt|n.舒适;安慰;v.安慰
command|kəˈmænd|v.命令;指挥;n.指令
comment|ˈkɑːment|n.评论;意见;v.评论
commerce|ˈkɑːmɜːrs|n.商业;贸易
commission|kəˈmɪʃn|n.委员会;佣金;v.委任
commit|kəˈmɪt|v.犯(罪);承诺;投入
committee|kəˈmɪti|n.委员会
communicate|kəˈmjuːnɪkeɪt|v.交流;传达
community|kəˈmjuːnəti|n.社区;团体
companion|kəmˈpæniən|n.同伴;伴侣
compare|kəmˈper|v.比较;对比
compensate|ˈkɑːmpenseɪt|v.补偿;赔偿
compete|kəmˈpiːt|v.竞争;比赛
competition|ˌkɑːmpəˈtɪʃn|n.竞争;比赛
complain|kəmˈpleɪn|v.抱怨;投诉
complex|ˈkɑːmpleks|adj.复杂的;n.综合体
complicated|ˈkɑːmplɪkeɪtɪd|adj.复杂的;难懂的
component|kəmˈpoʊnənt|n.组成部分;部件
compose|kəmˈpoʊz|v.组成;创作;作曲
comprehension|ˌkɑːmprɪˈhenʃn|n.理解;领悟
concentrate|ˈkɑːnsntreɪt|v.集中;专注
concept|ˈkɑːnsept|n.概念;观念
concern|kənˈsɜːrn|v.涉及;担心;n.关心
conclude|kənˈkluːd|v.得出结论;结束
concrete|ˈkɑːŋkriːt|adj.具体的;n.混凝土
condition|kənˈdɪʃn|n.条件;状况;v.训练
conduct|kənˈdʌkt|v.进行;指挥;n.行为
conference|ˈkɑːnfərəns|n.会议;研讨会
confidence|ˈkɑːnfɪdəns|n.信心;信任
confirm|kənˈfɜːrm|v.确认;证实
conflict|ˈkɑːnflɪkt|n.冲突;矛盾
confront|kənˈfrʌnt|v.面对;对抗
confuse|kənˈfjuːz|v.使困惑;混淆
congratulate|kənˈɡrætʃuleɪt|v.祝贺;恭喜
connect|kəˈnekt|v.连接;联系
conscious|ˈkɑːnʃəs|adj.有意识的;清醒的
consequence|ˈkɑːnsɪkwens|n.结果;后果
conserve|kənˈsɜːrv|v.保存;节约
consider|kənˈsɪdər|v.考虑;认为
considerable|kənˈsɪdərəbl|adj.相当大的;可观的
consist|kənˈsɪst|v.由...组成;在于
constant|ˈkɑːnstənt|adj.不断的;恒定的;n.常数
construct|kənˈstrʌkt|v.建造;构建
consult|kənˈsʌlt|v.咨询;查阅
consume|kənˈsuːm|v.消耗;消费
contact|ˈkɑːntækt|n.联系;接触;v.联系
contain|kənˈteɪn|v.包含;容纳
contemporary|kənˈtempəreri|adj.当代的;同时代的
content|ˈkɑːntent|n.内容;目录;kənˈtent adj.满足的
contest|ˈkɑːntest|n.竞赛;kənˈtest v.争辩
context|ˈkɑːntekst|n.上下文;背景
contract|ˈkɑːntrækt|n.合同;v.收缩
contradiction|ˌkɑːntrəˈdɪkʃn|n.矛盾;反驳
contrary|ˈkɑːntreri|adj.相反的;n.相反
contribute|kənˈtrɪbjuːt|v.贡献;捐献
convenient|kənˈviːniənt|adj.方便的;便利的
conversation|ˌkɑːnvərˈseɪʃn|n.谈话;对话
convince|kənˈvɪns|v.说服;使信服
cooperate|koʊˈɑːpəreɪt|v.合作;协作
crash|kræʃ|v.碰撞;崩溃;n.坠毁
create|kriˈeɪt|v.创造;创建
creative|kriˈeɪtɪv|adj.创造性的
crime|kraɪm|n.犯罪;罪行
crisis|ˈkraɪsɪs|n.危机;紧要关头
critical|ˈkrɪtɪkl|adj.批评的;关键的;危急的
cultivate|ˈkʌltɪveɪt|v.培养;耕作
curiosity|ˌkjʊriˈɑːsəti|n.好奇心;珍品
current|ˈkɜːrənt|adj.当前的;n.水流;电流
ýÿýÿ8
